N,P,K,pH,S,Zn,Fe,Cu,Mn,B,OM,Fertility
0.28152492668621704,0.41758241758241765,0.5939349112426036,0.47321428571428553,0.3708142403947833,0.24817518248175185,0.00799041150619257,0.3253588516746412,0.44675324675324685,0.04716981132075472,0.4687500000000001,0
0.501466275659824,0.3369963369963371,0.2655325443786982,0.6160714285714284,1.0,0.33576642335766427,0.0519376747902517,0.6937799043062202,0.14441558441558444,1.0,0.7500000000000001,0
0.3548387096774194,0.49084249084249093,0.8276627218934911,0.5892857142857139,0.9629890729643991,0.33576642335766427,0.0519376747902517,0.7081339712918661,0.13454545454545455,1.0,0.7890625000000002,0
0.33724340175953077,0.28571428571428575,0.4681952662721893,0.6339285714285708,1.0,0.39416058394160597,0.02636835797043548,0.6889952153110048,0.13194805194805195,1.0,0.6562500000000002,0
0.6686217008797654,0.5128205128205129,0.4223372781065089,0.6249999999999996,0.7867465632710611,0.2627737226277373,0.04394726328405913,0.7655502392344498,0.12051948051948054,1.0,0.5937500000000002,1
0.5219941348973607,0.41758241758241765,0.4223372781065089,0.446428571428571,0.7796968628833274,0.4379562043795621,0.03595685177786656,0.38755980861244027,0.10805194805194805,1.0,0.4843750000000001,0
0.5219941348973607,0.3150183150183151,0.09393491124260354,0.6160714285714284,0.4765597462107861,0.39416058394160597,0.03835397522972433,0.4593301435406699,0.09818181818181818,1.0,0.5546875000000001,0
0.4838709677419355,0.3003663003663004,0.35872781065088755,0.6249999999999996,0.4906591469862531,0.36496350364963515,0.03755493407910508,0.25358851674641153,0.12051948051948054,1.0,0.46093750000000017,0
0.8533724340175953,0.8791208791208793,0.38979289940828404,1.0,0.550581600281988,0.6423357664233579,0.24850179784258888,0.4736842105263159,0.4727272727272728,0.24528301886792453,0.8359375000000002,2
0.7243401759530792,0.41758241758241765,0.5939349112426036,0.5803571428571427,0.46951004582305256,0.8175182481751828,0.03595685177786656,0.40669856459330145,0.12051948051948054,1.0,0.44531250000000017,1
0.28152492668621704,0.380952380952381,0.8587278106508875,0.5535714285714282,0.5893549524145224,0.9051094890510949,0.015980823012385136,0.507177033492823,0.13714285714285715,1.0,0.5312500000000001,0
